time,outdoor_PM2.5_conc_(µg/m3),outdoor_US_AQI,outdoor_category
2021-03-01,17,61,Moderate
2021-03-01,16.9,61,Moderate
2021-03-01,17.1,61,Moderate
2021-03-01,18.6,64,Moderate
2021-03-01,20.1,67,Moderate
2021-03-01,,,No Data
2021-03-01,,,No Data
2021-03-01,,,No Data
2021-03-01,,,No Data
2021-03-01,,,No Data
2021-03-01,14.2,55,Moderate
2021-03-01,13.3,53,Moderate
2021-03-01,10.4,43,Good
2021-03-01,14.5,56,Moderate
2021-03-01,15.6,58,Moderate
2021-03-01,12.5,51,Moderate
2021-03-01,13.6,54,Moderate
2021-03-01,15.1,57,Moderate
2021-03-01,19.8,67,Moderate
2021-03-01,26.1,80,Moderate
2021-03-01,28.1,84,Moderate
2021-03-01,26.7,81,Moderate
2021-03-01,30.4,89,Moderate
2021-03-01,34.2,97,Moderate
2021-03-02,39.5,110,Unhealthy for Sensitive Groups
2021-03-02,41.2,115,Unhealthy for Sensitive Groups
2021-03-02,42.4,117,Unhealthy for Sensitive Groups
2021-03-02,42.6,118,Unhealthy for Sensitive Groups
2021-03-02,47.7,131,Unhealthy for Sensitive Groups
2021-03-02,50.3,137,Unhealthy for Sensitive Groups
2021-03-02,53.8,146,Unhealthy for Sensitive Groups
2021-03-02,52.3,142,Unhealthy for Sensitive Groups
2021-03-02,48.3,132,Unhealthy for Sensitive Groups
2021-03-02,44.9,124,Unhealthy for Sensitive Groups
2021-03-02,44.9,124,Unhealthy for Sensitive Groups
2021-03-02,43.2,119,Unhealthy for Sensitive Groups
2021-03-02,44.7,123,Unhealthy for Sensitive Groups
2021-03-02,43.2,119,Unhealthy for Sensitive Groups
2021-03-02,46.1,127,Unhealthy for Sensitive Groups
2021-03-02,44.6,123,Unhealthy for Sensitive Groups
2021-03-02,52.7,143,Unhealthy for Sensitive Groups
2021-03-02,47.1,129,Unhealthy for Sensitive Groups
2021-03-02,54.1,146,Unhealthy for Sensitive Groups
2021-03-02,53.8,146,Unhealthy for Sensitive Groups
2021-03-02,46.3,127,Unhealthy for Sensitive Groups
2021-03-02,31.9,92,Moderate
2021-03-02,31.5,91,Moderate
2021-03-02,33.8,96,Moderate
2021-03-03,36.2,102,Unhealthy for Sensitive Groups
2021-03-03,43.8,121,Unhealthy for Sensitive Groups
2021-03-03,57.3,151,Unhealthy
2021-03-03,61.6,154,Unhealthy
2021-03-03,75.9,161,Unhealthy
2021-03-03,80,163,Unhealthy
2021-03-03,73.7,160,Unhealthy
2021-03-03,72.2,159,Unhealthy
2021-03-03,58.2,152,Unhealthy
2021-03-03,51.4,140,Unhealthy for Sensitive Groups
2021-03-03,28.8,86,Moderate
2021-03-03,25.2,78,Moderate
2021-03-03,22.1,72,Moderate
2021-03-03,17.8,62,Moderate
2021-03-03,19.8,67,Moderate
2021-03-03,31.5,91,Moderate
2021-03-03,33.5,96,Moderate
2021-03-03,30.6,89,Moderate
2021-03-03,37.6,106,Unhealthy for Sensitive Groups
2021-03-03,39.8,111,Unhealthy for Sensitive Groups
2021-03-03,37.5,105,Unhealthy for Sensitive Groups
2021-03-03,51.3,139,Unhealthy for Sensitive Groups
2021-03-03,38.6,108,Unhealthy for Sensitive Groups
2021-03-03,29.4,87,Moderate
2021-03-04,20.1,67,Moderate
2021-03-04,18.2,63,Moderate
2021-03-04,17,61,Moderate
2021-03-04,16.9,61,Moderate
2021-03-04,17.9,63,Moderate
2021-03-04,18.2,63,Moderate
2021-03-04,17.7,62,Moderate
2021-03-04,17.2,61,Moderate
2021-03-04,12.4,51,Moderate
2021-03-04,11.8,49,Good
2021-03-04,11.2,46,Good
2021-03-04,10.6,44,Good
2021-03-04,10.5,43,Good
2021-03-04,9.4,39,Good
2021-03-04,8.2,34,Good
2021-03-04,7.7,32,Good
2021-03-04,7.7,32,Good
2021-03-04,7.2,30,Good
2021-03-04,6.9,28,Good
2021-03-04,7.7,32,Good
2021-03-04,6.5,27,Good
2021-03-04,6.7,27,Good
2021-03-04,5.9,24,Good
2021-03-04,5.7,23,Good
2021-03-05,6.7,27,Good
2021-03-05,7.3,30,Good
2021-03-05,6.5,27,Good
2021-03-05,6.5,27,Good
2021-03-05,7,29,Good
2021-03-05,8.6,35,Good
2021-03-05,8.7,36,Good
2021-03-05,10.6,44,Good
2021-03-05,9.6,40,Good
2021-03-05,10.6,44,Good
2021-03-05,11.1,46,Good
2021-03-05,11.4,47,Good
2021-03-05,11.1,46,Good
2021-03-05,10.7,44,Good
2021-03-05,11,45,Good
2021-03-05,11.3,47,Good
2021-03-05,11.3,47,Good
2021-03-05,9.9,41,Good
2021-03-05,10.3,42,Good
2021-03-05,10,41,Good
2021-03-05,10.6,44,Good
2021-03-05,11.5,47,Good
2021-03-05,13.1,53,Moderate
2021-03-05,15.8,58,Moderate
2021-03-06,15.5,58,Moderate
2021-03-06,14.8,56,Moderate
2021-03-06,14.7,56,Moderate
2021-03-06,14.6,56,Moderate
2021-03-06,14.7,56,Moderate
2021-03-06,16.3,59,Moderate
2021-03-06,16.6,60,Moderate
2021-03-06,17.1,61,Moderate
2021-03-06,15.7,58,Moderate
2021-03-06,14.9,56,Moderate
2021-03-06,14.9,56,Moderate
2021-03-06,17,61,Moderate
2021-03-06,18.4,64,Moderate
2021-03-06,18.4,64,Moderate
2021-03-06,18.1,63,Moderate
2021-03-06,18.9,65,Moderate
2021-03-06,19.8,67,Moderate
2021-03-06,21.1,69,Moderate
2021-03-06,22,71,Moderate
2021-03-06,23.6,75,Moderate
2021-03-06,23.6,75,Moderate
2021-03-06,23.1,74,Moderate
2021-03-06,26.5,81,Moderate
2021-03-06,31.6,92,Moderate
2021-03-07,34.3,97,Moderate
2021-03-07,32,92,Moderate
2021-03-07,31.9,92,Moderate
2021-03-07,33.6,96,Moderate
2021-03-07,35,99,Moderate
2021-03-07,34.3,97,Moderate
2021-03-07,33.2,95,Moderate
2021-03-07,34.3,97,Moderate
2021-03-07,32.2,93,Moderate
2021-03-07,32.1,93,Moderate
2021-03-07,30.6,89,Moderate
2021-03-07,29.8,88,Moderate
2021-03-07,29.3,87,Moderate
2021-03-07,26.9,82,Moderate
2021-03-07,28.7,85,Moderate
2021-03-07,33,94,Moderate
2021-03-07,34,97,Moderate
2021-03-07,32.3,93,Moderate
2021-03-07,33.4,95,Moderate
2021-03-07,34.8,98,Moderate
2021-03-07,34.2,97,Moderate
2021-03-07,33.8,96,Moderate
2021-03-07,34.3,97,Moderate
2021-03-07,34.2,97,Moderate
2021-03-08,30.8,90,Moderate
2021-03-08,31.5,91,Moderate
2021-03-08,31.1,90,Moderate
2021-03-08,30,88,Moderate
2021-03-08,30.9,90,Moderate
2021-03-08,33.6,96,Moderate
2021-03-08,,,No Data
2021-03-08,,,No Data
2021-03-08,,,No Data
2021-03-08,,,No Data
2021-03-08,,,No Data
2021-03-08,37.6,106,Unhealthy for Sensitive Groups
2021-03-08,43.8,121,Unhealthy for Sensitive Groups
2021-03-08,35.4,100,Moderate
2021-03-08,39.5,110,Unhealthy for Sensitive Groups
2021-03-08,34.8,98,Moderate
2021-03-08,34.6,98,Moderate
2021-03-08,39.2,110,Unhealthy for Sensitive Groups
2021-03-08,32.8,94,Moderate
2021-03-08,33.4,95,Moderate
2021-03-08,49.2,134,Unhealthy for Sensitive Groups
2021-03-08,62.9,154,Unhealthy
2021-03-08,60.5,153,Unhealthy
2021-03-08,50,136,Unhealthy for Sensitive Groups
2021-03-09,57.9,152,Unhealthy
2021-03-09,59.1,152,Unhealthy
2021-03-09,61.7,154,Unhealthy
2021-03-09,60.3,153,Unhealthy
2021-03-09,67.5,157,Unhealthy
2021-03-09,82.2,164,Unhealthy
2021-03-09,80,163,Unhealthy
2021-03-09,81.3,164,Unhealthy
2021-03-09,84.2,165,Unhealthy
2021-03-09,78.7,162,Unhealthy
2021-03-09,60.6,153,Unhealthy
2021-03-09,59.7,153,Unhealthy
2021-03-09,56.1,151,Unhealthy
2021-03-09,50.1,136,Unhealthy for Sensitive Groups
2021-03-09,50.7,138,Unhealthy for Sensitive Groups
2021-03-09,61.6,154,Unhealthy
2021-03-09,58.9,152,Unhealthy
2021-03-09,50.3,137,Unhealthy for Sensitive Groups
2021-03-09,59.2,152,Unhealthy
2021-03-09,53,144,Unhealthy for Sensitive Groups
2021-03-09,42.8,118,Unhealthy for Sensitive Groups
2021-03-09,47.9,131,Unhealthy for Sensitive Groups
2021-03-09,55.6,151,Unhealthy
2021-03-09,56.1,151,Unhealthy
2021-03-10,58.9,152,Unhealthy
2021-03-10,58.6,152,Unhealthy
2021-03-10,55.3,149,Unhealthy for Sensitive Groups
2021-03-10,50.7,138,Unhealthy for Sensitive Groups
2021-03-10,62.8,154,Unhealthy
