time,outdoor_PM2.5_conc_(µg/m3),outdoor_US_AQI,outdoor_category,c2_PM2.5_conc_(µg/m3),c2_US_AQI,c2_category,d2_PM2.5_conc_(µg/m3),d2_US_AQI,d2_category
2021-04-01,19.1,65,Moderate,7.9,32,Good,11,45,Good
2021-04-02,45,124,Unhealthy for Sensitive Groups,16.3,59,Moderate,18.7,64,Moderate
2021-04-03,43.9,121,Unhealthy for Sensitive Groups,15,57,Moderate,21.3,70,Moderate
2021-04-04,11.6,48,Good,4.5,18,Good,10.9,45,Good
2021-04-05,10,41,Good,4.2,17,Good,6.4,26,Good
2021-04-06,18.8,65,Moderate,5.2,21,Good,9.1,37,Good
2021-04-07,32.6,94,Moderate,6.4,26,Good,14.5,56,Moderate
2021-04-08,39.1,109,Unhealthy for Sensitive Groups,7.9,32,Good,15.8,58,Moderate
2021-04-09,61.5,154,Unhealthy,10.9,45,Good,19.7,66,Moderate
2021-04-10,34,97,Moderate,5.8,24,Good,13.7,54,Moderate
2021-04-11,19.3,66,Moderate,3.7,15,Good,7.9,32,Good
2021-04-12,17.9,63,Moderate,3.8,15,Good,7.7,32,Good
2021-04-13,15.9,58,Moderate,3.8,15,Good,8.3,34,Good
2021-04-14,15.2,57,Moderate,3.6,15,Good,9.3,38,Good
2021-04-15,,,No Data,3.6,15,Good,8.4,35,Good
2021-04-16,13.9,54,Moderate,3.3,13,Good,8.5,35,Good
2021-04-17,14.7,56,Moderate,3.1,12,Good,12.2,51,Moderate
2021-04-18,22,71,Moderate,4.3,17,Good,8.8,36,Good
2021-04-19,34.2,97,Moderate,7.3,30,Good,14.4,55,Moderate
2021-04-20,46.8,128,Unhealthy for Sensitive Groups,9.4,39,Good,18.6,64,Moderate
2021-04-21,51.9,141,Unhealthy for Sensitive Groups,10.9,45,Good,22.7,73,Moderate
2021-04-22,54.5,147,Unhealthy for Sensitive Groups,13.9,54,Moderate,23.3,74,Moderate
2021-04-23,39,109,Unhealthy for Sensitive Groups,9.7,40,Good,16.4,60,Moderate
2021-04-24,54.1,146,Unhealthy for Sensitive Groups,13.4,53,Moderate,22,71,Moderate
2021-04-25,76.9,162,Unhealthy,20.1,67,Moderate,32.6,94,Moderate
2021-04-26,42.2,117,Unhealthy for Sensitive Groups,11.6,48,Good,17.4,62,Moderate
2021-04-27,22,71,Moderate,5.6,23,Good,12.7,52,Moderate
2021-04-28,20.5,68,Moderate,4.4,18,Good,8.5,35,Good
2021-04-29,22.2,72,Moderate,4.7,19,Good,12.7,52,Moderate
2021-04-30,18.8,65,Moderate,4.1,17,Good,14.7,56,Moderate
2021-05-01,37.8,106,Unhealthy for Sensitive Groups,7.1,29,Good,17.3,61,Moderate
2021-05-02,35.5,101,Unhealthy for Sensitive Groups,7.1,29,Good,19.6,66,Moderate
2021-05-03,30.4,89,Moderate,7.3,30,Good,17.4,62,Moderate
