Calendar Year,Emirate,On Campus,Commuting Distance (Km)
2024-01-01,Abu Dhabi,false,50.63
2024-01-01,Abu Dhabi,false,11.09
2024-01-01,Abu Dhabi,false,178.9
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,false,14.04
2024-01-01,Abu Dhabi,false,37.52
2024-01-01,Abu Dhabi,false,37.52
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,false,18.59
2024-01-01,Abu Dhabi,false,14.08
2024-01-01,Abu Dhabi,false,13.57
2024-01-01,Dubai,false,126.45
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,false,36.74
2024-01-01,Abu Dhabi,false,16.34
2024-01-01,Abu Dhabi,false,17.57
2024-01-01,Abu Dhabi,false,31.81
2024-01-01,Abu Dhabi,false,2.61
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,false,
2024-01-01,Dubai,false,97.15
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,false,10.4
2024-01-01,Abu Dhabi,false,14.08
2024-01-01,Abu Dhabi,false,14.08
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,false,26.27
2024-01-01,Abu Dhabi,false,13.2
2024-01-01,Abu Dhabi,false,13.62
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,false,31.48
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,false,7.5
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,false,17.51
2024-01-01,Abu Dhabi,false,14.14
2024-01-01,Abu Dhabi,false,35.05
2024-01-01,Abu Dhabi,false,39.91
2024-01-01,Abu Dhabi,false,183.12
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,false,31.14
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,false,14.46
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,false,2.61
2024-01-01,Abu Dhabi,false,15.87
2024-01-01,Abu Dhabi,false,13.94
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,false,5.8
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,false,11.43
2024-01-01,Abu Dhabi,false,37.52
2024-01-01,Abu Dhabi,true,
2024-01-01,Dubai,false,122.8
2024-01-01,Abu Dhabi,false,2.61
2024-01-01,Abu Dhabi,false,5.74
2024-01-01,Abu Dhabi,false,41.27
2024-01-01,Abu Dhabi,false,10.49
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,true,
2024-01-01,Abu Dhabi,false,35.05
2024-01-01,Abu Dhabi,false,13.72
2024-01-01,Abu Dhabi,false,23.16
