Date,Day,Breakfast (kg),Lunch (kg),Dinner (kg),Total Wastage (kg)
2021-01-04,Monday,3.43,8.41,11.16,23
2021-01-05,Tuesday,3.79,7.23,6.76,17.78
2021-01-06,Wednesday,2.78,10.96,8.42,22.16
2021-01-07,Thursday,2.56,10.3,9.63,22.49
2021-01-08,Friday,4.24,7.5,5.81,17.55
2021-01-09,Saturday,10.95,9.42,6.04,26.41
2021-01-10,Sunday,4.79,8.49,9.32,22.6
2021-01-11,Monday,4.27,12.9,9.5,26.67
2021-01-12,Tuesday,5.19,9.04,6.91,21.14
2021-01-13,Wednesday,3.84,11.31,10.76,25.91
2021-01-14,Thursday,4.93,16.44,14.12,35.49
2021-01-15,Friday,4.65,8.69,8.36,21.7
2021-01-16,Saturday,5.44,7.34,8.97,21.75
2021-01-17,Sunday,8.16,11.92,11.72,31.8
2021-01-18,Monday,7.46,12.68,17.96,38.1
2021-01-19,Tuesday,11.39,13.46,9.98,34.83
2021-01-20,Wednesday,9.01,9.25,16.34,34.6
2021-01-21,Thursday,9.42,12.95,12.92,35.29
2021-01-22,Friday,6.39,13.11,11.21,30.71
2021-01-23,Saturday,6.77,14.08,10.85,31.7
2021-01-24,Sunday,11.24,13.71,11.96,36.91
2021-01-25,Monday,7.88,21,13.33,42.21
2021-01-26,Tuesday,8.03,15.97,19.25,43.25
2021-01-27,Wednesday,11.61,15.16,16.01,42.78
2021-01-28,Thursday,6.88,9.29,12.47,28.64
2021-01-29,Friday,9.19,11.56,13.49,34.24
2021-01-30,Saturday,4.77,17.24,16.14,38.15
2021-01-31,Sunday,10.48,14.98,19.23,44.69
2021-02-01,Monday,8.86,12.25,21.42,42.53
2021-02-02,Tuesday,5.4,10.18,19.78,35.36
2021-02-03,Wednesday,8.4,7.06,19.22,34.68
2021-02-04,Thursday,11.38,10.33,12.72,34.43
2021-02-05,Friday,6.7,16.55,10.1,33.35
2021-02-06,Saturday,8.6,17.15,16.8,42.55
2021-02-07,Sunday,9.17,9.39,11.62,30.18
2021-02-08,Monday,10.91,7.96,8.13,27
2021-02-09,Tuesday,10.3,6.99,16.71,34
2021-02-10,Wednesday,8.25,10.88,16.38,35.51
2021-02-11,Thursday,5.99,9.46,21.14,36.59
2021-02-12,Friday,7.09,18.82,11.16,37.07
2021-02-13,Saturday,4.78,14.57,12.22,31.57
2021-02-14,Sunday,9.95,8.55,10.56,29.06
2021-02-15,Monday,7.5,15.05,7.57,30.12
2021-02-16,Tuesday,7.87,8.8,11.74,28.41
2021-02-17,Wednesday,8.23,18.1,16.43,42.76
2021-02-18,Thursday,10.42,8.39,14.62,33.43
2021-02-19,Friday,8.63,23.84,10.14,42.61
2021-02-20,Saturday,8.23,13.1,7.43,28.76
2021-02-21,Sunday,11.59,8.83,6.86,27.28
2021-02-22,Monday,2.27,7.41,7.88,17.56
2021-02-23,Tuesday,9.83,6.82,9.7,26.35
2021-02-24,Wednesday,7.35,7.8,6.73,21.88
2021-02-25,Thursday,7.56,16.56,9.87,33.99
2021-02-26,Friday,7.16,8.14,9.77,25.07
2021-02-27,Saturday,6.45,11.34,10.08,27.87
2021-02-28,Sunday,8.6,8.84,7.36,24.8
2021-03-01,Monday,7.19,10.31,8.63,26.13
2021-03-02,Tuesday,11.61,13.81,12.11,37.53
2021-03-03,Wednesday,7.75,14.78,7.54,30.07
2021-03-04,Thursday,7.01,11.19,5.02,23.22
2021-03-05,Friday,5.6,5.16,4.03,14.79
2021-03-06,Saturday,7.28,7.96,8.59,23.83
2021-03-07,Sunday,8.53,16.2,15.71,40.44
2021-03-08,Monday,8.93,6.48,8.38,23.79
2021-03-09,Tuesday,10.15,5.93,9.37,25.45
2021-03-10,Wednesday,9.03,7.46,10.43,26.92
2021-03-11,Thursday,7.7,11.01,7.69,26.4
2021-03-12,Friday,5.42,9.18,8.52,23.12
2021-03-13,Saturday,7.36,9.18,14.52,31.06
2021-03-14,Sunday,8.86,13.41,11.02,33.29
2021-03-15,Monday,9.31,8.78,14.5,32.59
2021-03-16,Tuesday,6.99,13.61,10.66,31.26
2021-03-17,Wednesday,7.19,16.36,11.26,34.81
2021-03-18,Thursday,6.63,23.18,12.77,42.58
2021-03-19,Friday,5.24,9.55,9.54,24.33
2021-03-20,Saturday,6.17,15.9,8.7,30.77
2021-03-21,Sunday,7.63,15.97,11.08,34.68
2021-03-22,Monday,5.11,13.05,15.22,33.38
2021-03-23,Tuesday,6.59,15.35,13.46,35.4
2021-03-24,Wednesday,5.28,10.9,17.74,33.92
2021-03-25,Thursday,7.16,16.79,11.87,35.82
2021-03-26,Friday,3.89,14.01,10.49,28.39
2021-03-27,Saturday,7.05,18.09,11.92,37.06
2021-03-28,Sunday,5.83,7.05,15.13,28.01
2021-03-29,Monday,7.48,15.2,19.53,42.21
2021-03-30,Tuesday,5.64,9.27,13.71,28.62
2021-03-31,Wednesday,7.5,9.03,16,32.53
2021-04-01,Thursday,6.7,20.69,12.28,39.67
2021-04-02,Friday,5.07,14.42,11.91,31.4
2021-04-03,Saturday,5.4,13.38,15.52,34.3
2021-04-04,Sunday,6.38,18.83,14.38,39.59
2021-04-05,Monday,5.78,13.19,5.81,24.78
2021-04-06,Tuesday,6.35,14.14,12.04,32.53
2021-04-07,Wednesday,7.37,7.44,11.72,26.53
2021-04-08,Thursday,5.31,11.45,9.52,26.28
2021-04-09,Friday,3.55,16.35,10.78,30.68
2021-04-10,Saturday,6.64,17.7,14.62,38.96
2021-04-11,Sunday,6.1,17.48,12.31,35.89
2021-04-12,Monday,7.47,13.64,11.6,32.71
2021-04-13,Tuesday,5.45,13.44,13.08,31.97
2021-04-14,Wednesday,16.46,11.01,20.16,47.63
2021-04-15,Thursday,14.25,13.44,20.12,47.81
2021-04-16,Friday,10.53,13.93,19.25,43.71
2021-04-17,Saturday,14.4,14.01,16.24,44.65
2021-04-18,Sunday,18.74,9.58,19.69,48.01
2021-04-19,Monday,13.43,8.66,19.48,41.57
2021-04-20,Tuesday,17.32,11.83,18.49,47.64
2021-04-21,Wednesday,10.8,10.8,19.95,41.55
2021-04-22,Thursday,15.86,10.07,20.05,45.98
2021-04-23,Friday,16.7,10.17,17.87,44.74
