Group,Soft Cap Period,User cost center name,Billing code - description,B/W print (A4),B/W copy (A4),Color print (A4),Color copy (A4),One Color print (A4),One Color copy (A4),One Color print (A3),One Color copy (A3),Local B/W print (A4),Local color print (A4),B/W print (A3),B/W copy (A3),Color print (A3),Color copy (A3),Local copy (A4),B/W A3,Color A3,B/W A4,Color A/4,B/W pages,Color pages,Total
Staff,AY 22-23, 1st,affiliate,contractor,793,2266,1702,7214,0,0,0,0,0,0,3,1,67,64,0,4,131,3059,8916,3063,9047,12110
Staff,AY 22-23, 1st,affiliate,prospective_employee,2673,57,5884,68,0,0,0,0,0,0,1,0,10,1,0,1,11,2730,5952,2731,5963,8694
Faculty & Researcher,AY 22-23, 1st,affiliate,adjunct faculty,5514,513,2403,29,0,0,0,0,0,0,0,0,0,0,0,0,0,6027,2432,6027,2432,8459
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,7116,471,211,1,0,0,0,0,0,0,150,0,0,2,0,150,2,7587,212,7737,214,7951
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1260,4423,30,1977,0,0,0,0,0,0,0,0,0,10,0,0,10,5683,2007,5683,2017,7700
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,834,0,6608,135,0,0,0,0,0,0,0,0,43,0,0,0,43,834,6743,834,6786,7620
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,2014,10,3593,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,3606,2024,3606,5630
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,2786,2137,461,46,0,0,0,0,0,0,0,0,10,0,0,0,10,4923,507,4923,517,5440
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,4774,180,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,4954,180,4954,180,5134
Staff,AY 22-23, 1st,affiliate,administrator,143,0,4584,0,0,0,0,0,0,0,5,0,165,0,0,5,165,143,4584,148,4749,4897
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,541,0,4090,2,0,0,0,0,0,0,0,0,6,0,0,0,6,541,4092,541,4098,4639
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1669,0,2806,0,0,0,0,0,0,0,7,0,28,0,0,7,28,1669,2806,1676,2834,4510
Staff,AY 22-23, 1st,affiliate,administrator,354,0,3888,53,0,0,0,0,0,0,0,0,0,0,0,0,0,354,3941,354,3941,4295
Staff,AY 22-23, 1st,affiliate,administrator,619,0,3650,0,0,0,0,0,0,0,1,0,0,0,0,1,0,619,3650,620,3650,4270
Staff,AY 22-23, 1st,affiliate,administrator,3431,8,476,0,0,0,0,0,0,0,1,0,14,0,0,1,14,3439,476,3440,490,3930
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,3090,0,742,0,0,0,0,0,0,0,58,0,0,0,0,58,0,3090,742,3148,742,3890
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,3578,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3578,293,3578,293,3871
Staff,AY 22-23, 1st,affiliate,administrator,486,0,3218,0,0,0,0,0,0,0,2,0,13,0,0,2,13,486,3218,488,3231,3719
Staff,AY 22-23, 1st,affiliate,contractor,2334,247,756,37,0,0,0,0,0,0,86,2,217,20,0,88,237,2581,793,2669,1030,3699
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,379,31,3200,9,0,0,0,0,0,0,0,0,0,0,0,0,0,410,3209,410,3209,3619
Others,AY 22-23, 1st,affiliate,--Unknown billing code--,3438,0,0,0,0,0,0,0,0,0,138,0,0,0,0,138,0,3438,0,3576,0,3576
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,499,18,2941,63,0,0,0,0,0,0,0,0,0,0,0,0,0,517,3004,517,3004,3521
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,964,2553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3517,0,3517,0,3517
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,3424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3424,0,3424,0,3424
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,3032,0,329,43,0,0,0,0,0,0,0,0,0,11,0,0,11,3032,372,3032,383,3415
Staff,AY 22-23, 1st,affiliate,ad_contingent,878,44,2394,93,0,0,0,0,0,0,0,0,0,0,0,0,0,922,2487,922,2487,3409
Staff,AY 22-23, 1st,affiliate,contractor,0,122,0,3285,0,0,0,0,0,0,0,0,0,0,0,0,0,122,3285,122,3285,3407
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,3389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3389,0,3389,0,3389
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,2212,5,1037,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2217,1063,2217,1063,3280
Staff,AY 22-23, 1st,affiliate,contractor,1508,1509,109,63,0,0,0,0,0,0,0,0,1,0,0,0,1,3017,172,3017,173,3190
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,2765,272,19,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3037,60,3037,60,3097
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,728,0,2331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728,2331,728,2331,3059
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1676,100,827,4,0,0,0,0,0,0,49,0,399,0,0,49,399,1776,831,1825,1230,3055
Faculty & Researcher,AY 22-23, 1st,student,researcher,2825,0,191,0,0,0,0,0,0,0,9,0,0,0,0,9,0,2825,191,2834,191,3025
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1285,1206,431,71,0,0,0,0,0,0,0,0,0,0,0,0,0,2491,502,2491,502,2993
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,2157,57,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214,772,2214,772,2986
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,1930,0,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1930,1044,1930,1044,2974
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,2318,0,508,30,0,0,0,0,0,0,11,0,0,0,0,11,0,2318,538,2329,538,2867
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,31,0,2735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2735,31,2735,2766
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,2529,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2529,220,2529,220,2749
Staff,AY 22-23, 1st,affiliate,contractor,14,0,335,2364,0,0,0,0,0,0,1,0,10,11,0,1,21,14,2699,15,2720,2735
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,368,2341,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2709,7,2709,7,2716
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1176,772,647,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,741,1948,741,2689
Staff,AY 22-23, 1st,affiliate,contractor,9,1,42,2422,0,0,0,0,0,0,4,0,19,112,0,4,131,10,2464,14,2595,2609
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,2600,0,2600
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,236,0,2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,2348,236,2348,2584
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1044,0,1450,34,0,0,0,0,0,0,0,1,0,0,0,1,0,1044,1484,1045,1484,2529
Staff,AY 22-23, 1st,affiliate,administrator,294,15,1653,455,0,0,0,0,0,0,16,0,75,0,0,16,75,309,2108,325,2183,2508
Others,AY 22-23, 1st,student,--Unknown billing code--,651,0,1823,0,0,0,0,0,0,0,0,0,8,0,0,0,8,651,1823,651,1831,2482
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,2196,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2196,283,2196,283,2479
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,891,4,1537,0,0,0,0,0,0,0,4,0,41,0,0,4,41,895,1537,899,1578,2477
Student,AY 22-23, 1st,student,degree,866,0,1601,4,0,0,0,0,0,0,0,0,3,0,0,0,3,866,1605,866,1608,2474
Staff,AY 22-23, 1st,affiliate,administrator,2412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2412,0,2412,0,2412
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,2403,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2407,0,2407,0,2407
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1576,0,817,1,0,0,0,0,0,0,1,0,9,0,0,1,9,1576,818,1577,827,2404
Staff,AY 22-23, 1st,affiliate,ad_contingent,124,749,120,1374,0,0,0,0,0,0,0,0,0,8,0,0,8,873,1494,873,1502,2375
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1699,0,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1699,675,1699,675,2374
Student,AY 22-23, 1st,student,degree,1411,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411,899,1411,899,2310
Faculty & Researcher,AY 22-23, 1st,affiliate,researcher,2309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309,0,2309,0,2309
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1782,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1782,521,1782,521,2303
Student,AY 22-23, 1st,student,degree,1499,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499,790,1499,790,2289
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,2277,3,0,2,0,0,0,0,0,0,0,5,0,0,0,5,0,2280,2,2285,2,2287
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1544,0,724,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1544,729,1544,729,2273
Staff,AY 22-23, 1st,affiliate,administrator,663,1,1532,26,0,0,0,0,0,0,0,0,42,0,0,0,42,664,1558,664,1600,2264
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,1210,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,1024,1210,1024,2234
Staff,AY 22-23, 1st,affiliate,administrator,1181,0,501,0,0,0,0,0,0,0,7,2,538,1,0,9,539,1181,501,1190,1040,2230
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,10,0,2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2185,10,2185,2195
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,700,1036,223,208,0,0,0,0,0,0,0,1,0,0,0,1,0,1736,431,1737,431,2168
Staff,AY 22-23, 1st,affiliate,contractor,79,15,1798,143,0,0,0,0,0,0,6,0,54,59,0,6,113,94,1941,100,2054,2154
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,2140,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2150,0,2150,0,2150
Student,AY 22-23, 1st,student,degree,2083,0,60,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2083,60,2084,60,2144
Student,AY 22-23, 1st,student,degree,1650,0,483,0,0,0,0,0,0,0,2,0,2,0,0,2,2,1650,483,1652,485,2137
Staff,AY 22-23, 1st,affiliate,contractor,21,9,175,1903,0,0,0,0,0,0,0,0,15,6,0,0,21,30,2078,30,2099,2129
Staff,AY 22-23, 1st,affiliate,administrator,37,0,2055,0,0,0,0,0,0,0,2,0,16,0,0,2,16,37,2055,39,2071,2110
Faculty & Researcher,AY 22-23, 1st,affiliate,faculty,746,95,1205,11,0,0,0,0,0,0,7,0,37,0,0,7,37,841,1216,848,1253,2101
