,New First-Year Undergrad Cohort Size,Undergrads,NYUAD Undergrads Abroad,Visiting Students from Other Campuses,,Global PhD Students
Fall 2010,148,148,0,8,,0
Spring 2011,0,147,0,7,,0
Fall 2011,161,303,2,5,,0
Spring 2012,0,301,29,12,,0
Fall 2012,150,448,106,10,,0
Spring 2013,1,447,157,20,,0
Fall 2013,174,616,132,12,,8
Spring 2014,1,611,155,14,,8
Fall 2014,259,726,90,17,,14
Spring 2015,1,717,152,12,,14
Fall 2015,299,874,74,27,,26
Spring 2016,0,861,234,22,,26
Fall 2016,322,1050,107,33,,34
Spring 2017,0,1028,351,20,,34
Fall 2017,361,1230,98,37,,47
Spring 2018,0,1220,303,18,,47
Fall 2018,389,1355,112,39,,58
Spring 2019,0,1330,317,24,,57
Fall 2019,429,1479,182,41,,81
Spring 2020,0,1449,262,39,,76
Fall 2020,490,1625,10,6,,94
Spring 2021,0,1607,43,5,,94
Fall 2021,530,1833,337,123,,99
Spring 2022,14,1789,238,88,,94
Fall 2022,624,2103,253,129,,99
Spring 2023,0,2029,261,127,,95
